Id,SalePrice
1461,179152.9
1462,185931.2
1463,180771.06
1464,181003.39
1465,180482.19
1466,180885.39
1467,179562.88
1468,180584.83
1469,180160.06
1470,179841.97
1471,178434.42
1472,178653.19
1473,179187.55
1474,179051.48
1475,178114.97
1476,183872.95
1477,181618.16
1478,181569.31
1479,182444.0
1480,185182.98
1481,182205.5
1482,181244.17
1483,180227.47
1484,179532.14
1485,180349.27
1486,180882.03
1487,182949.84
1488,181865.06
1489,180277.36
1490,181827.61
1491,181360.17
1492,179036.73
1493,177391.0
1494,182759.53
1495,181809.31
1496,181616.14
1497,180589.2
1498,178811.72
1499,179090.33
1500,179740.44
1501,181033.27
1502,180199.58
1503,180046.53
1504,181735.98
1505,180820.23
1506,180679.14
1507,182383.08
1508,181617.33
1509,180500.19
1510,179938.75
1511,178511.61
1512,180139.11
1513,179946.19
1514,177590.55
1515,181386.2
1516,180005.45
1517,181022.27
1518,180750.6
1519,181150.0
1520,179149.42
1521,179880.28
1522,180731.97
1523,179352.2
1524,180118.48
1525,178734.75
1526,179401.17
1527,181077.52
1528,179020.47
1529,180340.2
1530,180924.34
1531,179067.61
1532,177211.34
1533,181551.23
1534,179824.27
1535,180232.55
1536,179201.52
1537,178752.6
1538,180526.02
1539,181309.47
1540,181112.64
1541,180915.86
1542,178700.75
1543,180904.89
1544,177367.0
1545,178833.39
1546,180911.28
1547,178756.4
1548,179703.17
1549,179782.2
1550,180049.31
1551,179046.48
1552,180356.6
1553,181059.44
1554,180169.14
1555,180695.7
1556,173454.36
1557,177355.3
1558,178811.06
1559,176651.19
1560,177504.77
1561,179495.58
1562,179405.9
1563,179477.81
1564,180050.77
1565,180301.4
1566,181357.38
1567,179560.16
1568,181249.83
1569,181247.25
1570,180722.75
1571,179747.25
1572,179317.38
1573,179503.45
1574,179387.69
1575,180071.81
1576,181390.84
1577,180469.23
1578,180840.56
1579,178120.7
1580,181603.14
1581,180403.08
1582,179082.08
1583,182399.17
1584,182044.05
1585,179858.97
1586,177620.66
1587,177530.11
1588,179883.39
1589,179833.05
1590,179198.7
1591,177760.9
1592,179014.55
1593,179234.05
1594,175107.33
1595,179277.44
1596,180229.84
1597,182026.55
1598,180407.12
1599,178809.53
1600,178474.22
1601,177095.83
1602,179524.86
1603,175755.55
1604,182008.69
1605,182154.45
1606,180030.67
1607,179010.17
1608,180193.42
1609,180483.42
1610,180516.06
1611,180256.38
1612,180675.22
1613,180766.86
1614,179687.2
1615,178704.92
1616,178623.6
1617,179021.81
1618,178186.78
1619,180162.0
1620,179630.53
1621,179907.4
1622,179612.8
1623,181376.48
1624,180683.28
1625,180008.44
1626,180648.55
1627,181309.39
1628,182949.56
1629,180732.58
1630,184443.2
1631,181279.31
1632,181726.47
1633,180571.94
1634,180684.02
1635,180473.2
1636,179633.64
1637,180142.3
1638,180754.67
1639,181272.58
1640,183255.3
1641,181474.11
1642,181061.89
1643,180532.86
1644,181871.33
1645,180336.28
1646,179546.48
1647,180678.14
1648,179923.84
1649,179846.45
